code_type,code,canonical_icao,name
ICAO,CYHZ,CYHZ,Halifax / Stanfield International Airport - Halifax - Canada
IATA,YHZ,CYHZ,Halifax / Stanfield International Airport - Halifax - Canada
ICAO,CYIB,CYIB,Atikokan Municipal Airport - Atikokan - Canada
IATA,YIB,CYIB,Atikokan Municipal Airport - Atikokan - Canada
ICAO,CYIO,CYIO,Pond Inlet Airport - Pond Inlet - Canada
IATA,YIO,CYIO,Pond Inlet Airport - Pond Inlet - Canada
ICAO,CYJN,CYJN,St Jean Airport - St. Jean - Canada
IATA,YJN,CYJN,St Jean Airport - St. Jean - Canada
ICAO,CYJT,CYJT,Stephenville Airport - Stephenville - Canada
IATA,YJT,CYJT,Stephenville Airport - Stephenville - Canada
ICAO,CYKA,CYKA,Kamloops Airport - Kamloops - Canada
IATA,YKA,CYKA,Kamloops Airport - Kamloops - Canada
ICAO,CYKF,CYKF,Waterloo Airport - Waterloo - Canada
IATA,YKF,CYKF,Waterloo Airport - Waterloo - Canada
ICAO,CYKL,CYKL,Schefferville Airport - Schefferville - Canada
IATA,YKL,CYKL,Schefferville Airport - Schefferville - Canada
ICAO,CYKY,CYKY,Kindersley Airport - Kindersley - Canada
IATA,YKY,CYKY,Kindersley Airport - Kindersley - Canada
ICAO,CYKZ,CYKZ,Buttonville Municipal Airport - Toronto - Canada
IATA,YKZ,CYKZ,Buttonville Municipal Airport - Toronto - Canada
ICAO,CYLD,CYLD,Chapleau Airport - Chapleau - Canada
IATA,YLD,CYLD,Chapleau Airport - Chapleau - Canada
ICAO,CYLJ,CYLJ,Meadow Lake Airport - Meadow Lake - Canada
IATA,YLJ,CYLJ,Meadow Lake Airport - Meadow Lake - Canada
ICAO,CYLL,CYLL,Lloydminster Airport - Lloydminster - Canada
IATA,YLL,CYLL,Lloydminster Airport - Lloydminster - Canada
ICAO,CYLT,CYLT,Alert Airport - Alert - Canada
IATA,YLT,CYLT,Alert Airport - Alert - Canada
ICAO,CYLW,CYLW,Kelowna International Airport - Kelowna - Canada
IATA,YLW,CYLW,Kelowna International Airport - Kelowna - Canada
ICAO,CYMA,CYMA,Mayo Airport - Mayo - Canada
IATA,YMA,CYMA,Mayo Airport - Mayo - Canada
ICAO,CYMJ,CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport - Moose Jaw - Canada
IATA,YMJ,CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport - Moose Jaw - Canada
ICAO,CYMM,CYMM,Fort McMurray Airport - Fort Mcmurray - Canada
IATA,YMM,CYMM,Fort McMurray Airport - Fort Mcmurray - Canada
ICAO,CYMO,CYMO,Moosonee Airport - Moosonee - Canada
IATA,YMO,CYMO,Moosonee Airport - Moosonee - Canada
ICAO,CYMW,CYMW,Maniwaki Airport - Maniwaki - Canada
IATA,YMW,CYMW,Maniwaki Airport - Maniwaki - Canada
ICAO,CYMX,CYMX,Montreal International (Mirabel) Airport - Montreal - Canada
IATA,YMX,CYMX,Montreal International (Mirabel) Airport - Montreal - Canada
ICAO,CYNA,CYNA,Natashquan Airport - Natashquan - Canada
IATA,YNA,CYNA,Natashquan Airport - Natashquan - Canada
ICAO,CYND,CYND,Ottawa / Gatineau Airport - Gatineau - Canada
IATA,YND,CYND,Ottawa / Gatineau Airport - Gatineau - Canada
ICAO,CYNM,CYNM,Matagami Airport - Matagami - Canada
IATA,YNM,CYNM,Matagami Airport - Matagami - Canada
ICAO,CYOC,CYOC,Old Crow Airport - Old Crow - Canada
IATA,YOC,CYOC,Old Crow Airport - Old Crow - Canada
ICAO,CYOD,CYOD,CFB Cold Lake - Cold Lake - Canada
IATA,YOD,CYOD,CFB Cold Lake - Cold Lake - Canada
ICAO,CYOJ,CYOJ,High Level Airport - High Level - Canada
IATA,YOJ,CYOJ,High Level Airport - High Level - Canada
ICAO,CYOW,CYOW,Ottawa Macdonald-Cartier International Airport - Ottawa - Canada
IATA,YOW,CYOW,Ottawa Macdonald-Cartier International Airport - Ottawa - Canada
ICAO,CYPA,CYPA,Prince Albert Glass Field - Prince Albert - Canada
IATA,YPA,CYPA,Prince Albert Glass Field - Prince Albert - Canada
ICAO,CYPE,CYPE,Peace River Airport - Peace River - Canada
IATA,YPE,CYPE,Peace River Airport - Peace River - Canada
ICAO,CYPG,CYPG,Southport Airport - Portage-la-prairie - Canada
IATA,YPG,CYPG,Southport Airport - Portage-la-prairie - Canada
ICAO,CYPK,CYPK,Pitt Meadows Airport - Pitt Meadows - Canada
ICAO,CYPL,CYPL,Pickle Lake Airport - Pickle Lake - Canada
IATA,YPL,CYPL,Pickle Lake Airport - Pickle Lake - Canada
ICAO,CYPN,CYPN,Port Menier Airport - Port Menier - Canada
IATA,YPN,CYPN,Port Menier Airport - Port Menier - Canada
ICAO,CYPQ,CYPQ,Peterborough Airport - Peterborough - Canada
IATA,YPQ,CYPQ,Peterborough Airport - Peterborough - Canada
ICAO,CYPR,CYPR,Prince Rupert Airport - Prince Pupert - Canada
IATA,YPR,CYPR,Prince Rupert Airport - Prince Pupert - Canada
